	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
Adipocytes	0.230513333333333	0.23573	0.167586666666667	1	0.0413666666666667	0.196586666666667	1	1	0.731723333333333	1	0.722653333333333	0.14666	1	0.532733333333333	0.327626666666667	1	1	0.176236666666667	0.547896666666667	1	0.00109999999999999	0.578896666666667	0.0618066666666667	0.506676666666667	0.5441	0.64626	0.679493333333333	0.65858	0.01053	1	0.00441333333333338	0.598303333333333	0.00219999999999998	1	0.0123033333333333	1	0.00732999999999995	0.262103333333333	0	0.0640666666666667	0.87808	0.220286666666667	1	0.154666666666667	0.01105	1	0.424773333333333	0.555623333333333	0.00517333333333336	0.180793333333333	9.00000000000345e-05
Astrocytes	1	1	0.223963333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0511833333333334	0.15221	0.122213333333333	0.375006666666667	0.375006666666667	1	0.484286666666667	1	1	1	1	1	0.214016666666667	0	0.24056	0.287023333333333	0.288353333333333	1	0.0433033333333334	0.0599499999999999	1	1	1	1	1	0.0464066666666667	1	1	1	1	0.0401066666666666	0.0778933333333334	0
B-cells	0.07535	0.376233333333333	0.09223	0.0832733333333333	0	0.0336666666666666	0.117893333333333	0.252943333333333	0.443966666666667	0.00900000000000001	0	0.0130266666666666	0.0697166666666666	0.0244866666666667	0.0151566666666667	0.0619733333333333	7.00000000000145e-05	0.0348433333333333	0.663116666666667	0.173306666666667	0.00867666666666667	1	0.191243333333333	0.132593333333333	0.0284266666666667	0.263396666666667	0.0114333333333333	1	0.02021	0.08544	0.439046666666667	1	0.556036666666667	0.392483333333333	1	0.14989	0.297553333333333	0.353706666666667	0.0402366666666667	0.22598	1	0.272316666666667	0.0521166666666667	1	0.224396666666667	0.10417	1	1	0.06845	1	0.01992
Basophils	1	1	0.262946666666667	0.265846666666667	0.388576666666667	0.45282	0.19233	0.66705	0.06692	1	1	0.27676	1	1	0.360423333333333	1	0.103476666666667	1	0.133253333333333	0.0777166666666667	1	0.0995333333333334	0.0559533333333333	0.655223333333333	0.709743333333333	0.0495033333333333	0.62975	8.33333333333242e-05	0.192006666666667	0.291716666666667	1	0.0847966666666666	1	0.221343333333333	0.142226666666667	0.34128	0.151633333333333	0.07453	0.145896666666667	0.889346666666667	0.163873333333333	0.147053333333333	1	0.0990799999999999	1	0.370496666666667	0.45282	1	0.661733333333333	0.0152566666666667	0.33109
CD4+ T-cells	0.0198	0.453913333333333	1	1	0.0338733333333333	0.0300866666666667	0.348483333333333	0.161773333333333	1	1	0.0336933333333334	0.140783333333333	0.128346666666667	0.50349	1	1	0.0654666666666667	0.0142733333333334	0.201	1	0.28624	0.47568	1	0.413416666666667	0.149126666666667	1	0.333703333333333	1	1	0.0980666666666666	0.0533266666666666	0.593086666666667	0.0354100000000001	0.213833333333333	1	0.0488566666666667	0	1	0.107763333333333	0.0486266666666667	1	0.0178833333333334	9.99999999995449e-06	1	0.06625	0.0600266666666667	1	0.40368	0	1	0.0335033333333333
CD4+ Tcm	0.0025033333333333	1	1	1	1	1	0.0706033333333334	0.0218333333333334	1	1	1	1	0.00261	0.221196666666667	1	1	1	1	0.119323333333333	1	1	1	1	1	0.726756666666667	1	1	1	1	1	1	1	1	0.000263333333333282	1	1	0.0326366666666666	1	1	0	1	1	0.00261	1	1	1.33333333333097e-05	1	1	0.0268	1	1
CD4+ Tem	0	1	0	1	0.641626666666667	0	0	1	0	1	1	0	0	1	0.000186666666666668	1	1	0	0	0	0	0	0	0	0	0.138506666666667	0.00457333333333332	0	0	0	0	0.47036	0.246156666666667	0	0.108846666666667	0	0	0.27238	0.16741	0	0	0	0	0.10042	0	0	0	0	0	1	0.0881233333333333
CD4+ memory T-cells	0.0158	0.622416666666667	0.78588	1	0.967616666666667	0.125933333333333	0.0340566666666666	0.83676	0.705896666666667	1	0.703576666666667	0.08999	0.0120533333333334	0.783136666666667	0.723813333333333	1	0.651303333333333	0.0933266666666667	0.0237166666666667	0.70773	0.321546666666667	0.00871666666666671	0.52822	0.16061	0.00303333333333333	0.169116666666667	0.32361	0.169116666666667	0.559153333333333	0.111986666666667	0.000553333333333295	0.51991	0.04178	0.101656666666667	1	0.541453333333333	0	0.489943333333333	0.409886666666667	0.0151566666666667	0.83781	0.30554	0.000369999999999981	1	0.575663333333333	0.0156166666666666	0.533783333333333	0.40039	0.0057666666666667	1	0.414396666666667
CD4+ naive T-cells	0.0246666666666666	0	1	0	0	1	0.144883333333333	0	1	0	0	1	0.0725266666666666	0	1	0	0	1	0.279023333333333	1	1	1	1	1	0.603883333333333	1	1	0.31257	1	1	1	1	1	0.0256766666666667	1	1	0.106516666666667	1	1	0	1	1	0.0221366666666667	1	1	0.00735666666666668	1	1	0	1	1
CD8+ T-cells	0	0	0	0	0	1	0	0	0	0	0.00122	1	0	0	0	0	0	1	0	0	1	0.787986666666667	0	1	0.07746	0	1	0	0	1	0	0	1	0	0	1	0.50675	0	1	0	0	1	0.141373333333333	0	1	0	0	1	0	0	1
CD8+ Tcm	0.13948	1	3.33333333335517e-06	0	1	1	0.599446666666667	1	0	0	1	1	0.18157	1	0	0	1	1	1	0	1	0.68447	0	1	0.916406666666667	0	1	1	0	1	0.0776166666666667	0	1	1	0.0672333333333334	1	1	0	1	0.49739	0	1	0.947243333333333	0	1	0.110606666666667	0	1	0.138926666666667	0	1
